dart0, 426, 3, 200, 218
dart1, 166, 102, 257, 250
dart2, 86, 78, 123, 120
dart3, 318, 137, 80, 90
dart4, 154, 63, 225, 250
dart5, 427, 130, 110, 115
dart6, 204, 106, 80, 80
dart7, 233, 151, 170, 190
dart8, 54, 237, 80, 120
dart8, 827, 201, 150, 150
dart9, 169, 6, 290, 300
dart10, 77, 83, 120, 150
dart10, 544, 83, 130, 150
dart10, 892, 113, 80, 140
dart11, 165, 93, 80, 80
dart11, 438, 115, 20, 80
dart11, 213, 253, 25, 25
dart12, 154, 58, 70, 170
dart13, 257, 103, 160, 170
dart14, 101, 87, 170, 160
dart14, 973, 72, 165, 170
dart15, 158, 60, 130, 130
